,agency_name,agency_expense,agency_link
0,Department of Agriculture,$2.7B,https://itdashboard.gov/drupal/summary/005
1,Department of Commerce,$2.8B,https://itdashboard.gov/drupal/summary/006
2,Department of Defense,$36B,https://itdashboard.gov/drupal/summary/007
3,Department of Health and Human Services,$7.0B,https://itdashboard.gov/drupal/summary/009
4,Department of the Interior,$1.5B,https://itdashboard.gov/drupal/summary/010
5,Department of Justice,$3.1B,https://itdashboard.gov/drupal/summary/011
6,Department of Labor,$819M,https://itdashboard.gov/drupal/summary/012
7,Department of State,$2.6B,https://itdashboard.gov/drupal/summary/014
8,Department of the Treasury,$5.4B,https://itdashboard.gov/drupal/summary/015
9,Social Security Administration,$2.0B,https://itdashboard.gov/drupal/summary/016
10,Department of Education,$1.0B,https://itdashboard.gov/drupal/summary/018
11,Department of Energy,$3.1B,https://itdashboard.gov/drupal/summary/019
12,Environmental Protection Agency,$385M,https://itdashboard.gov/drupal/summary/020
13,Department of Transportation,$3.5B,https://itdashboard.gov/drupal/summary/021
14,General Services Administration,$765M,https://itdashboard.gov/drupal/summary/023
15,Department of Homeland Security,$7.4B,https://itdashboard.gov/drupal/summary/024
16,Department of Housing and Urban Development,$447M,https://itdashboard.gov/drupal/summary/025
17,National Aeronautics and Space Administration,$2.2B,https://itdashboard.gov/drupal/summary/026
18,Office of Personnel Management,$125M,https://itdashboard.gov/drupal/summary/027
19,Small Business Administration,$129M,https://itdashboard.gov/drupal/summary/028
20,Department of Veterans Affairs,$9.1B,https://itdashboard.gov/drupal/summary/029
21,U.S. Agency for International Development,$256M,https://itdashboard.gov/drupal/summary/184
22,U.S. Army Corps of Engineers,$275M,https://itdashboard.gov/drupal/summary/202
23,National Archives and Records Administration,$99.9M,https://itdashboard.gov/drupal/summary/393
24,National Science Foundation,$136M,https://itdashboard.gov/drupal/summary/422
25,Nuclear Regulatory Commission,$141M,https://itdashboard.gov/drupal/summary/429
